idx,accu,time,time_unit
1,0.1224,107.409,us
2,0.2093,36.6427,us
3,0.2747,38.7257,us
4,0.3283,42.982,us
5,0.3693,46.8282,us
6,0.4087,51.0229,us
7,0.4407,56.2055,us
8,0.4686,58.4628,us
9,0.4913,61.932,us
10,0.5134,64.4783,us
11,0.5345,65.9673,us
12,0.5515,71.9956,us
13,0.5669,75.0003,us
14,0.581,79.5222,us
15,0.594,80.6049,us
16,0.6053,82.8392,us
17,0.617,85.6676,us
18,0.6284,87.744,us
19,0.6393,91.6866,us
20,0.6501,97.0908,us
21,0.6589,100.452,us
22,0.6699,101.876,us
23,0.6789,103.592,us
24,0.6871,105.162,us
25,0.6946,109.849,us
26,0.7021,111.134,us
27,0.7087,117.952,us
28,0.7158,118.881,us
29,0.7229,120.705,us
30,0.7288,127.392,us
40,0.777,155.768,us
50,0.8066,182.717,us
60,0.8292,206.767,us
70,0.8459,228.518,us
80,0.8602,256.507,us
90,0.8732,284.261,us
100,0.8833,311.616,us
140,0.9126,419.585,us
180,0.9308,516.38,us
220,0.9425,616.104,us
260,0.9521,709.146,us
300,0.9581,810.667,us
340,0.9642,927.523,us
380,0.9681,1024.19,us
420,0.9712,1127.67,us
460,0.9741,1219.43,us
