idx,accu,time,time_unit
1,0.1224,2104.79,us
2,0.2093,301.31,us
3,0.2747,142.951,us
4,0.3283,124.11,us
5,0.3693,118.928,us
6,0.4087,115.568,us
7,0.4407,117.55,us
8,0.4686,111.673,us
9,0.4913,115.189,us
10,0.5134,111.799,us
11,0.5345,109.985,us
12,0.5515,112.91,us
13,0.5669,115.897,us
14,0.581,122.204,us
15,0.594,125.887,us
16,0.6053,116.591,us
17,0.617,118.213,us
18,0.6284,121.123,us
19,0.6393,122.736,us
20,0.6501,124.138,us
21,0.6589,123.083,us
22,0.6699,130.462,us
23,0.6789,130.543,us
24,0.6871,132.247,us
25,0.6946,133.298,us
26,0.7021,132.408,us
27,0.7087,141.408,us
28,0.7158,137.892,us
29,0.7229,143.13,us
30,0.7288,139.835,us
40,0.777,673.554,us
50,0.8066,359.378,us
60,0.8292,305.694,us
70,0.8459,307.595,us
80,0.8602,337.803,us
90,0.8732,326.9,us
100,0.8833,338.808,us
140,0.9126,484.259,us
180,0.9308,571.579,us
220,0.9425,625.727,us
260,0.9521,713.557,us
300,0.9581,805.82,us
340,0.9642,907.167,us
380,0.9681,999.163,us
420,0.9712,1106.64,us
460,0.9741,1196.5,us
