idx,accu,time,time_unit
1,0.1224,1153.43,us
2,0.2093,290.158,us
3,0.2747,237.544,us
4,0.3283,217.898,us
5,0.3693,186.085,us
6,0.4087,170.554,us
7,0.4407,170.843,us
8,0.4686,160.598,us
9,0.4913,161.015,us
10,0.5134,149.281,us
11,0.5345,142.498,us
12,0.5515,140.153,us
13,0.5669,142.525,us
14,0.581,141.059,us
15,0.594,142.368,us
16,0.6053,142.135,us
17,0.617,139.678,us
18,0.6284,140.621,us
19,0.6393,139.853,us
20,0.6501,150.517,us
21,0.6589,145.59,us
22,0.6699,146.623,us
23,0.6789,146.576,us
24,0.6871,149.428,us
25,0.6946,147.462,us
26,0.7021,151.867,us
27,0.7087,154.192,us
28,0.7158,152.651,us
29,0.7229,150.52,us
30,0.7288,151.845,us
40,0.777,401.034,us
50,0.8066,353.4,us
60,0.8292,324.568,us
70,0.8459,320.157,us
80,0.8602,325.85,us
90,0.8732,333.579,us
100,0.8833,347.482,us
140,0.9126,492.765,us
180,0.9308,537.019,us
220,0.9425,654.169,us
260,0.9521,710.676,us
300,0.9581,806.273,us
340,0.9642,902.356,us
380,0.9681,993.282,us
420,0.9712,1105.12,us
460,0.9741,1206.15,us
