idx,accu,time,time_unit
1,0.1319,1668.47,us
2,0.2275,676.912,us
3,0.2967,796.664,us
4,0.3462,486.336,us
5,0.3966,430.248,us
6,0.4362,364.344,us
7,0.468,333.164,us
8,0.4977,307.11,us
9,0.5216,284.398,us
10,0.544,263.213,us
11,0.5651,263.678,us
12,0.5846,264.847,us
13,0.6012,241.043,us
14,0.6141,222.987,us
15,0.6295,262.86,us
16,0.6415,221.002,us
17,0.6531,224.246,us
18,0.6635,284.547,us
19,0.6745,250.84,us
20,0.6844,234.379,us
21,0.6939,225.924,us
22,0.7022,221.484,us
23,0.7088,221.726,us
24,0.7162,213.128,us
25,0.7234,211.301,us
26,0.7293,209.442,us
27,0.7364,204.905,us
28,0.7428,200.385,us
29,0.7491,237.186,us
30,0.7559,217.215,us
40,0.7987,694.276,us
50,0.8293,523.438,us
60,0.8515,486.811,us
70,0.8674,420.499,us
80,0.8818,379.54,us
90,0.8931,376.509,us
100,0.9029,382.975,us
140,0.931,542.384,us
180,0.9454,583.754,us
220,0.955,673.77,us
260,0.9615,778.266,us
300,0.967,887.137,us
340,0.9711,993.678,us
380,0.9748,1100.72,us
420,0.9765,1200.9,us
460,0.9795,1336.46,us
