idx,accu,time,time_unit
1,0.1539,22.6671,us
2,0.2531,25.0045,us
3,0.3323,29.0227,us
4,0.3911,32.9746,us
5,0.4375,36.4137,us
6,0.477,40.2306,us
7,0.5112,43.4839,us
8,0.5423,46.1193,us
9,0.5672,49.0552,us
10,0.5881,52.1857,us
11,0.609,55.1699,us
12,0.6257,57.963,us
13,0.6414,60.8699,us
14,0.6553,63.7348,us
15,0.6694,65.8628,us
16,0.6819,67.862,us
17,0.6922,70.826,us
18,0.7026,72.5416,us
19,0.7124,75.3812,us
20,0.7227,77.8144,us
21,0.732,79.5962,us
22,0.7415,83.0712,us
23,0.7494,85.921,us
24,0.7567,87.3125,us
25,0.7624,89.785,us
26,0.7687,92.6654,us
27,0.7747,94.3477,us
28,0.7814,96.8221,us
29,0.7879,98.7531,us
30,0.7931,101.726,us
40,0.8341,123.282,us
50,0.8632,144.846,us
60,0.8818,167.985,us
70,0.895,190.256,us
80,0.906,210.684,us
90,0.9161,230.97,us
100,0.9223,253.035,us
140,0.9446,339.722,us
180,0.9582,421.341,us
220,0.9664,504.68,us
260,0.9729,585.627,us
300,0.9767,672.502,us
340,0.9796,755.002,us
380,0.9816,837.709,us
420,0.9835,926.903,us
460,0.9852,1052.91,us
